nombre_normalizado,match,nombre_oficial,tipo,fuente,municipio,departamento,sector,estado
ALCALDIA DE BELLO,True,ALCALDIA DE BELLO,publica,gov,BELLO,ANTIOQUIA,NO APLICA,ACTIVA
ALCALDIA DE BLOS SANTOS,False,,,,,,,
ALCALDIA DE BOGOTA,False,,,,,,,
ALCALDIA DE BOGOTA DC,False,,,,,,,
ALCALDIA DE BOLIVAR,False,,,,,,,
ALCALDIA DE BOSCONIA,True,ALCALDIA DE BOSCONIA,publica,gov,BOSCONIA,CESAR,NO APLICA,ACTIVA
ALCALDIA DE BUACARAMANGA,False,,,,,,,
ALCALDIA DE BUCARAMANG,False,,,,,,,
ALCALDIA DE BUCARAMANGA,True,ALCALDIA DE BUCARAMANGA,publica,gov,BUCARAMANGA,SANTANDER,NO APLICA,ACTIVA
ALCALDIA DE BUCARAMANGA CENTRO DE ATENCION MUNICIPAL ESPECIALIZADO,False,,,,,,,
ALCALDIA DE BUCARAMANGA MUNICIPICI DER BUCARAMANGA,False,,,,,,,
ALCALDIA DE BUCARAMANGA MUNICIPIO DE BUCARAMANGA,False,,,,,,,
ALCALDIA DE BUCARAMANGA MUNICIPIO DE BUCORAMANGA,False,,,,,,,
ALCALDIA DE BUCARAMANGA3,False,,,,,,,
ALCALDIA DE BUCARAMANONGA,False,,,,,,,
ALCALDIA DE BUCARANANGA,False,,,,,,,
ALCALDIA DE BUCARMANGA,False,,,,,,,
ALCALDIA DE BUENAVISTA,False,,,,,,,
ALCALDIA DE CACIAS,False,,,,,,,
ALCALDIA DE CAIMITO,False,,,,,,,
ALCALDIA DE CAKE,False,,,,,,,
ALCALDIA DE CALARCA,True,ALCALDIA DE CALARCA,publica,gov,CALARCÁ,QUINDÍO,NO APLICA,ACTIVA
